                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2013,                 3.5385,                 1.2907,                0.01227,                0.78788,                0.18035,                0.14102,                0.65326,                 3.3367,                  0.858,             0.00032353,             0.00032353,             0.00032353
                      2,                 1.1668,                 2.7824,                 1.2574,                0.41026,                0.38838,                0.35697,                0.26192,                 1.0245,                 2.5418,                 1.0658,             0.00063085,             0.00063085,             0.00063085
                      3,                 1.2389,                 2.3155,                 1.3161,                0.35543,                0.38494,                0.37053,                0.25015,                 1.3092,                 2.4211,                 1.3214,             0.00091177,             0.00091177,             0.00091177
                      4,                 1.2099,                 2.1245,                 1.2842,                 0.2602,                0.52682,                0.30364,                0.22042,                 1.0913,                 2.8449,                 1.1961,              0.0008812,              0.0008812,              0.0008812
                      5,                 1.1835,                 2.0074,                 1.2987,                0.29213,                0.58389,                0.47339,                 0.3477,                 0.9323,                 2.8966,                 1.0913,              0.0008416,              0.0008416,              0.0008416
                      6,                  1.169,                 1.9014,                 1.2814,                0.27934,                0.61705,                0.47229,                0.29962,                 1.1424,                 2.5311,                 1.2571,               0.000802,               0.000802,               0.000802
                      7,                 1.0895,                 1.7479,                 1.2367,                0.47736,                0.55151,                 0.5124,                0.34915,                 1.0318,                 1.9267,                 1.1303,              0.0007624,              0.0007624,              0.0007624
                      8,                  1.086,                 1.7092,                 1.2207,                0.47134,                 0.5721,                0.56463,                0.40667,                0.98349,                 1.8459,                 1.0707,              0.0007228,              0.0007228,              0.0007228
                      9,                 1.0628,                 1.6976,                  1.221,                0.51488,                0.44996,                0.49747,                0.35437,                 1.0567,                 2.1621,                 1.1347,              0.0006832,              0.0006832,              0.0006832
                     10,                 1.0184,                 1.5992,                  1.196,                0.33476,                0.59776,                0.53949,                0.37948,                0.98909,                 2.3122,                 1.1098,              0.0006436,              0.0006436,              0.0006436
                     11,                 1.0083,                 1.5261,                 1.1879,                0.33462,                0.58689,                0.49773,                0.38242,                0.96286,                 1.9428,                 1.0549,               0.000604,               0.000604,               0.000604
                     12,                 0.9583,                 1.4869,                 1.1691,                0.61324,                0.53563,                0.60001,                0.42945,                0.95549,                 1.8736,                 1.0536,              0.0005644,              0.0005644,              0.0005644
                     13,                0.98195,                 1.4372,                 1.1614,                0.48647,                0.55799,                0.54206,                 0.3677,                0.99609,                 1.9316,                  1.104,              0.0005248,              0.0005248,              0.0005248
                     14,                0.91676,                 1.4096,                 1.1354,                0.47039,                0.60388,                0.58999,                  0.449,                0.96131,                 1.7301,                 1.0519,              0.0004852,              0.0004852,              0.0004852
                     15,                0.94661,                 1.4134,                 1.1551,                0.41782,                0.64881,                0.58046,                0.44008,                0.88375,                 1.7969,                 1.0608,              0.0004456,              0.0004456,              0.0004456
                     16,                0.71548,                 1.2978,                 1.0311,                0.45065,                0.59162,                0.57199,                0.42601,                0.89444,                 1.8389,                 1.0562,               0.000406,               0.000406,               0.000406
                     17,                0.67726,                  1.184,                0.99197,                0.54983,                0.62851,                0.63738,                0.46943,                0.88518,                  1.692,                 1.0398,              0.0003664,              0.0003664,              0.0003664
                     18,                0.64828,                 1.0885,                0.99989,                 0.4903,                0.66439,                0.67067,                0.50287,                0.84903,                 1.6027,                 1.0055,              0.0003268,              0.0003268,              0.0003268
                     19,                0.63692,                 1.0006,                0.99184,                 0.6108,                0.63716,                0.68924,                0.53944,                 0.8586,                 1.4911,                 1.0238,              0.0002872,              0.0002872,              0.0002872
                     20,                 0.6319,                 1.0375,                0.98696,                 0.7184,                0.61384,                0.69395,                0.53846,                0.85104,                 1.4989,                 1.0281,              0.0002476,              0.0002476,              0.0002476
                     21,                 0.5909,                0.94428,                0.98762,                0.60917,                0.70433,                0.69915,                0.54198,                0.83618,                 1.3923,                 1.0057,               0.000208,               0.000208,               0.000208
                     22,                0.56576,                0.87894,                0.95352,                  0.643,                0.74914,                 0.6824,                0.52174,                0.80711,                 1.4347,                0.99234,              0.0001684,              0.0001684,              0.0001684
                     23,                0.59083,                0.86584,                0.97277,                0.59121,                0.73548,                0.66583,                0.52245,                0.79616,                 1.4427,                0.98796,              0.0001288,              0.0001288,              0.0001288
                     24,                0.56408,                0.84619,                0.96158,                0.59561,                 0.7396,                0.67378,                0.53119,                0.78631,                 1.4162,                 1.0015,               8.92e-05,               8.92e-05,               8.92e-05
                     25,                0.53245,                0.82097,                 0.9595,                0.63522,                0.71632,                0.68197,                0.54044,                0.78482,                 1.3881,                0.99998,               4.96e-05,               4.96e-05,               4.96e-05
